ticker,time,close,open,high,low,volume
VMD,13/12/2022,20.25,20.9,20.9,19.0,1200.0
VMD,12/12/2022,19.9,19.7,20.65,19.6,13300.0
VMD,09/12/2022,19.3,19.25,19.8,19.05,5800.0
VMD,08/12/2022,19.05,19.35,19.35,18.9,2800.0
VMD,07/12/2022,18.9,18.55,19.7,17.65,8300.0
VMD,06/12/2022,18.5,17.05,18.5,17.05,7700.0
VMD,05/12/2022,17.85,17.45,17.9,17.45,11200.0
VMD,02/12/2022,17.5,17.85,17.85,16.65,11000.0
VMD,01/12/2022,17.9,16.25,18.25,16.25,18000.0
VMD,30/11/2022,17.1,17.2,17.2,16.3,8300.0
VMD,29/11/2022,17.0,16.75,17.1,16.75,5400.0
VMD,28/11/2022,17.75,16.95,17.75,16.65,11700.0
VMD,25/11/2022,17.9,17.95,17.95,16.75,8500.0
VMD,24/11/2022,18.0,18.0,18.0,17.15,1000.0
VMD,23/11/2022,17.75,17.0,18.2,16.95,1800.0
VMD,22/11/2022,18.0,18.3,18.3,17.15,2800.0
VMD,21/11/2022,18.3,18.4,18.45,18.3,300.0
VMD,18/11/2022,18.1,18.1,18.1,17.25,1500.0
VMD,17/11/2022,17.8,18.0,18.0,17.3,800.0
VMD,16/11/2022,17.95,16.1,17.95,16.1,3800.0
VMD,15/11/2022,17.3,18.0,18.0,16.1,6900.0
VMD,14/11/2022,17.3,19.15,19.15,17.3,14500.0
VMD,11/11/2022,18.6,18.85,18.85,18.6,6600.0
VMD,10/11/2022,20.0,19.0,20.0,18.6,11100.0
VMD,09/11/2022,20.0,20.0,20.0,19.0,10100.0
VMD,08/11/2022,20.0,19.5,20.0,19.5,1500.0
VMD,07/11/2022,20.0,18.45,20.0,18.45,20900.0
VMD,04/11/2022,19.8,19.0,19.8,18.3,11500.0
VMD,03/11/2022,19.65,18.4,19.65,18.4,10400.0
VMD,02/11/2022,19.35,20.25,20.25,18.35,5900.0
VMD,01/11/2022,19.35,20.3,20.3,19.15,2800.0
VMD,31/10/2022,19.55,19.7,19.7,19.05,2300.0
VMD,28/10/2022,19.75,19.9,19.9,18.6,2200.0
VMD,27/10/2022,19.4,19.35,19.4,19.35,6300.0
VMD,26/10/2022,19.35,19.65,19.7,18.0,2100.0
VMD,25/10/2022,18.7,18.75,19.45,18.7,3600.0
VMD,24/10/2022,18.8,21.3,21.45,18.8,10000.0
VMD,21/10/2022,20.2,20.65,20.65,20.05,18800.0
VMD,20/10/2022,21.55,21.9,21.9,20.6,500.0
VMD,19/10/2022,21.0,21.45,21.45,21.0,600.0
